plant,scientific_name,disease,role,part_used,usage_dosage,safety,prep_type,youtube_query,notes,image_url
"Aloe Vera","Aloe vera","Acne","support","Taze Yaprak Jeli","Günde 2-3 kez ince tabaka halinde topikal","safe","gel_extraction","aloe+vera+jeli+nasıl+çıkarılır+ve+uygulanır","Nemlendirici; hassas ciltlerde patch-test önerilir","img/aloe_vera.png"
"Aloe Vera","Aloe vera","Eczema","support","Taze Yaprak Jeli","Günde 2-3 kez topikal uygulama","safe","gel_extraction","aloe+vera+jeli+nasıl+çıkarılır+ve+uygulanır","Cilt bariyerini destekler","img/aloe_vera.png"
"Tea Tree","Melaleuca alternifolia","Acne","primary","Uçucu Yağ (Yaprak)","%1-5 oranında taşıyıcı yağ ile seyreltilerek","caution","dilution","çay+ağacı+yağı+cilt+için+nasıl+seyreltilir","Direkt sürülmemeli; irritasyon riski","img/teatree.png"
"Tea Tree","Melaleuca alternifolia","Mantar","primary","Uçucu Yağ (Yaprak)","Seyreltilmiş yağ ile günde 2 kez uygulama","caution","dilution","çay+ağacı+yağı+cilt+için+nasıl+seyreltilir","Antifungal etki; seyreltilmeli","img/teatree.png"
"Tea Tree","Melaleuca alternifolia","Nail Fungus","primary","Uçucu Yağ (Yaprak)","Tırnağa günde 2 kez seyreltilmiş uygulama","caution","dilution","çay+ağacı+yağı+cilt+için+nasıl+seyreltilir","Tırnak çevresine dikkat edilmeli","img/teatree.png"
"Calendula / Aynısefa","Calendula officinalis","Eczema","primary","Çiçek","Merhem veya maserat yağ; günde 3 kez","safe","maceration","aynısefa+kremi+yapımı+evde","Cilt yenileyici ve hücre onarıcı","img/calendula.png"
"Chamomile / Papatya","Matricaria recutita","Eczema","primary","Çiçek (Kapitulum)","İnfüzyon (%5) ile soğuk kompres","safe","infusion","papatya+çayı+kompres+nasıl+yapılır","Yatıştırıcı; Asteraceae alerjisine dikkat","img/chamomile.png"
"Chamomile / Papatya","Matricaria recutita","Rosacea","primary","Çiçek","Soğuk papatya çayı ile sabah-akşam pansuman","safe","infusion","papatya+çayı+kompres+nasıl+yapılır","Kızarıklık giderici","img/chamomile.png"
"Green Tea / Yeşil Çay","Camellia sinensis","Acne","primary","Yaprak","%2-3'lük ekstre veya demlenmiş soğuk yaprak","safe","infusion","yeşil+çay+tonik+yapımı+cilt+için","Anti-sebum ve antioksidan","img/greentea.png"
"Turmeric / Zerdeçal","Curcuma longa","Acne","primary","Rizom (Kök)","Toz zerdeçal-su lapası (15 dk bekletilmeli)","safe","poultice","zerdeçal+maskesi+nasıl+hazırlanır+cilt","Kurkumin içeriği; leke bırakabilir","img/turmeric.png"
"Rosemary / Biberiye","Salvia rosmarinus","Hairloss","support","Yaprak","İnfüzyon ile durulama suyu","safe","infusion","biberiye+suyu+saç+için+nasıl+yapılır","Saç kökü stimülasyonu","img/rosemary.png"
"Nettle / Isırgan","Urtica dioica","Hairloss","support","Yaprak ve Kök","Haftada 2-3 kez durulama suyu olarak","safe","infusion","ısırgan+otu+suyu+saç+bakımı+hazırlanışı","Mineral desteği sağlar","img/nettle.png"
"Cade Juniper / Katran Ardıcı","Juniperus oxycedrus","Eczema","primary","Odun Katranı","%1-5 oranında merhem veya şampuan içinde","safe","topical","ardıç+katranı+sabunu+ve+kullanımı","Sedef ve egzama için geleneksel","img/cade_juniper.png"
"Burdock / Dulavratotu","Arctium lappa","Hairloss","support","Kök","Dekoksiyon ile saç derisi masajı","safe","decoction","dulavratotu+kökü+çayı+nasıl+yapılır","Sebum dengeleyici","img/burdock.png"
"Adaçayı / Sage","Salvia officinalis","Mantar","primary","Yaprak","İnfüzyon (%5) ile bölgesel yıkama","safe","infusion","adaçayı+demleme+cilt+tonik+hazırlanışı","Antiseptik ve antifungal","img/sage.png"
"St. John's Wort / Sarı Kantaron","Hypericum perforatum","Eczema","primary","Çiçek (Maserat Yağ)","Günde 2 kez; sürdükten sonra güneşe çıkılmamalı","safe","maceration","sarı+kantaron+yağı+nasıl+yapılır+evde","FOTOSENSİTİF; yara iyileştirici","img/st.johnswort.png"
"Common Plantain / Sinirli Ot","Plantago major","Eczema","support","Yaprak","Taze yaprak lapası olarak uygulama","safe","poultice","sinirli+ot+lapası+nasıl+yapılır","Doğal yara iyileştirici","img/common_plantain.png"
"Lavender / Lavanta","Lavandula angustifolia","Acne","primary","Çiçek ve Uçucu Yağ","Seyreltilmiş yağ ile bölgesel uygulama","caution","dilution","lavanta+yağı+sivilce+için+nasıl+kullanılır","Antiseptik; yatıştırıcı etkisi yüksektir","img/lavender.png"
"Burdock / Dulavratotu","Arctium lappa","Acne","primary","Kök","Dekoksiyon ile günlük yüz yıkama","safe","decoction","dulavratotu+kökü+cilt+bakımı+hazırlanışı","Kan temizleyici; kronik cilt sorunlarında etkili","img/burdock.png"
"Chickweed / Kuşotu","Stellaria media","Alerji","primary","Toprak Üstü Kısımlar","Taze bitki lapası veya merhem","safe","poultice","kuş+otu+kaşıntı+ve+alerji+merhemi","Kaşıntılı alerjik döküntülerde PFAF 5 yıldız puanlıdır","img/chickweed.png"
"Greater Celandine / Kırlangıç Otu","Chelidonium majus","Benign","primary","Taze Bitki Özsuyu","Sadece siğil/ben üzerine günde 1 kez","caution","topical","kırlangıç+otu+siğil+tedavisi+nasıl+yapılır","Tahriş edicidir; sağlıklı cilde temas ettirmeyin","img/greater_celandine.png"
"Garlic / Sarımsak","Allium sativum","Nail Fungus","primary","Diş (Soğan)","Ezilmiş taze sarımsak ile 15 dk kompres","safe","poultice","sarımsak+tırnak+mantarı+tedavisi+nasıl+uygulanır","Güçlü antifungal; PFAF en yüksek tıbbi puana sahip","img/garlic.png"
"Horsetail / At Kuyruğu","Equisetum arvense","Hairloss","support","Toprak Üstü Kısımlar","İnfüzyon ile saç durulama suyu","safe","infusion","atkuyruğu+otu+saç+uzatma+suyu+hazırlanışı","Yüksek silis içerir; saç tellerini güçlendirir","img/horsetail.png"
"Licorice / Meyan Kökü","Glycyrrhiza glabra","Rosacea","primary","Kök","%2'lik meyan kökü içeren soğuk infüzyon","safe","infusion","meyan+kökü+cilt+kızarıklığı+için+hazırlanışı","Doğal kortizon etkisi; kızarıklık giderici","img/licorice.png"
"Heartsease / Hercai Menekşe","Viola tricolor","Eczema","primary","Çiçek ve Yaprak","İnfüzyon ile kompres veya yıkama","safe","infusion","hercai+menekşe+egzama+tedavisi+hazırlanışı","Özellikle çocuklardaki kuru egzamada PFAF önerisidir","img/heartsease.png"
"Ginkgo / Mabet Ağacı","Ginkgo biloba","Vitiligo","support","Yaprak","Standart ekstre veya yoğun infüzyon","safe","infusion","ginkgo+biloba+cilt+lekeleri+vitiligo+kullanımı","Pigment kaybını yavaşlatıcı antioksidan etkisi","img/ginkgo.png"
"Black Walnut / Kara Ceviz","Juglans nigra","Mantar","primary","Dış Kabuk (Yeşil)","Tentür veya infüzyon ile bölgesel uygulama","caution","infusion","kara+ceviz+kabuğu+mantar+tedavisi","Güçlü antifungal bileşikler (juglon) içerir","img/black_walnut.png"
"Neem / Yalancı Tesbih Ağacı","Azadirachta indica","Acne","primary","Yaprak","Su ile ezilip lapa olarak sivilce üzerine","caution","poultice","neem+yaprağı+sivilce+maskesi+hazırlanışı","PFAF: Çok güçlü antiseptik; göz çevresine dikkat","img/neem.png"
"Witch Hazel / Cadı Fındığı","Hamamelis virginiana","Rosacea","primary","Kabuk ve Yaprak","Distilat (cadı fındığı suyu) ile tonik","safe","topical","cadı+fındığı+suyu+cilt+kızarıklığı+kullanımı","PFAF: Damar büzücü; yüzdeki kızarıklığı hızla yatıştırır","img/witch_hazel.png"
"Thyme / Kekik","Thymus vulgaris","Acne","primary","Uçucu Yağ","1 damla kekik yağı - 10 damla su ile seyreltilerek","caution","dilution","kekik+yağı+sivilce+için+nasıl+kullanılır","Güçlü timol içerir; cildi yakabilir, çok iyi seyreltilmeli","img/thyme.png"
"Gotu Kola","Centella asiatica","Vitiligo","support","Tüm Bitki","Kurutulmuş bitki infüzyonu veya merhem","safe","infusion","gotu+kola+cilt+pigmentasyonu+faydaları","PFAF: Kolajen artırıcı; deri rengini dengelemeye yardımcı","img/gotu_kola.png"
"Saw Palmetto / Cüce Palmiye","Serenoa repens","Hairloss","primary","Meyve (Ekstre)","Meyve ekstresi içeren serumlar veya infüzyon","safe","infusion","saw+palmetto+saç+dökülmesi+nasıl+uygulanır","PFAF: DHT hormonunu baskılayarak dökülmeyi önler","img/saw_palmetto.png"
"Thuja / Mazı","Thuja occidentalis","Benign","primary","Taze Yaprak/Dal","Uçucu yağını sadece siğil/ben üzerine","caution","topical","mazı+yağı+siğil+tedavisi+nasıl+yapılır","PFAF: Siğil tedavisinde en yüksek tıbbi puana sahip (5 yıldız)","img/thuja.png"
"Peppermint / Tıbbi Nane","Mentha piperita","Alerji","support","Yaprak","İnfüzyon ile soğutulmuş yıkama suyu","safe","infusion","nane+çayı+cilt+kaşıntısı+nasıl+geçirilir","PFAF: Mentol etkisiyle alerjik kaşıntıyı anında soğutur","img/peppermint.png"
"Oregano / Dağ Kekiği","Origanum vulgare","Mantar","primary","Uçucu Yağ","Zeytinyağı ile %2 seyreltilmiş uygulama","caution","dilution","kekik+yağı+mantar+tedavisi+hazırlanışı","PFAF: Karvakrol içeriğiyle en güçlü doğal antifungal","img/oregano.png"
"Evening Primrose / Eşek Otu","Oenothera biennis","Eczema","support","Tohum Yağı","Doğrudan yağı cilde sürerek uygulama","safe","topical","eşek+otu+yağı+egzama+için+faydaları","PFAF: GLA asidi yönünden çok zengin; deri bariyerini onarır","img/evening_primrose.png"
"Marshmallow / Hatmi","Althea officinalis","Rosacea","support","Kök","Soğuk demleme (müsilaj) ile kompres","safe","infusion","hatmi+kökü+cilt+yatıştırıcı+hazırlanışı","PFAF: Çok yumuşatıcıdır; tahriş olmuş yüzü yatıştırır","img/marshmallow.png"
"Comfrey / Karakafes Otu","Symphytum officinale","Eczema","primary","Yaprak ve Kök","Lapa veya yoğun merhem olarak uygulama","caution","poultice","karakafes+otu+merhemi+yapımı+egzama","PFAF: Allantoin içerir; sadece kapalı (açık olmayan) yaralara","img/comfrey.png"
"Dandelion / Karahindiba","Taraxacum officinale","Acne","support","Kök ve Yaprak","Kök dekoksiyonu ile günlük cilt temizliği","safe","decoction","karahindiba+kökü+sivilce+tedavisi","PFAF: Karaciğer destekleyici etkisiyle akneyi içerden çözer","img/dandelion.png"
"Echinacea / Ekinezya","Echinacea purpurea","Alerji","support","Kök ve Yaprak","İnfüzyon ile kompres veya yıkama suyu","safe","infusion","ekinezya+cilt+alerjisi+nasıl+kullanılır","PFAF: Bağışıklık yanıtını düzenleyerek döküntüyü azaltır","img/echinacea.png"
"Yarrow / Civanperçemi","Achillea millefolium","Rosacea","primary","Çiçek ve Yaprak","Soğuk infüzyon ile sabah-akşam pansuman","safe","infusion","civanperçemi+cilt+kızarıklığı+tonik","PFAF: Güçlü büzücü (astringent); damar çatlaklarına iyi gelir","img/yarrow.png"
"Black Seed / Çörek Otu","Nigella sativa","Mantar","primary","Tohum Yağı","Günde 2 kez sorunlu bölgeye doğrudan sürülür","safe","topical","çörek+otu+yağı+mantar+nasıl+kullanılır","PFAF: Timokinon içeriğiyle deri mantarlarına karşı etkili","img/blackseed.png"
"Greater Plantain / Sinirli Ot","Plantago major","Alerji","primary","Taze Yaprak","Yaprağı ezerek kaşıntılı döküntü üzerine","safe","poultice","sinirli+ot+kaşıntı+ve+böcek+ısırığı+lapası","PFAF: Histamin etkisini azaltıcı; alerjik döküntüde 5 yıldız","img/greater_plantain.png"
"Goldenseal / Mühür Altın","Hydrastis canadensis","Mantar","primary","Kök","Toz haline getirilmiş kök ile lapa veya su","caution","poultice","mühür+altın+kökü+mantar+tedavisi","PFAF: Berberin içeriğiyle en güçlü doğal antibiyotiklerden","img/goldenseal.png"
"Mullein / Sığır Kuyruğu","Verbascum thapsus","Benign","support","Çiçek ve Yaprak","Çiçeklerin yağda bekletilmiş maseratı","safe","maceration","sığır+kuyruğu+yağı+siğil+ve+cilt+sorunları","PFAF: Siğil ve sert deri yumrularını yumuşatmak için","img/mullein.png"
"Cinnamon / Tarçın","Cinnamomum cassia","Nail Fungus","primary","Uçucu Yağ","1 damla tarçın yağı - 20 damla taşıyıcı yağ","caution","dilution","tarçın+yağı+tırnak+mantarı+nasıl+sürülür","PFAF: Çok yakıcıdır; sadece tırnağa sürülmeli, deriye değmemeli","img/cinnamon.png"
"Lemon Balm / Oğul Otu","Melissa officinalis","Rosacea","support","Yaprak","Hafif infüzyon ile yüz yıkama suyu","safe","infusion","oğul+otu+cilt+tonik+hazırlanışı","PFAF: Antiviral ve yatıştırıcı; sıcak basmalarına iyi gelir","img/lemon_balm.png"
"Walnut / Ceviz","Juglans regia","Hairloss","support","Yaprak ve Dış Kabuk","Dekoksiyon ile saç durulama suyu","safe","decoction","ceviz+yaprağı+saç+bakımı+hazırlanışı","PFAF: Saç derisini dezenfekte eder ve tellerini koyulaştırır","img/black_walnut.png"
"Gotu Kola","Centella asiatica","Eczema","primary","Yaprak","Kuru yaprak ekstresi içeren merhemler","safe","topical","gotu+kola+egzama+ve+yara+iyileştirici","PFAF: Hücre yenilenmesini hızlandırır; derin egzamalarda etkili","img/gotu_kola.png"
"Babchi / Bakuchi","Psoralea corylifolia","Vitiligo","primary","Tohum Yağı","Eser miktarda (1 damla) taşıyıcı yağ ile seyreltilerek","caution","dilution","bakuchi+yağı+vitiligo+nasıl+kullanılır","PFAF: Psoralen içerir; pigmentasyon artırıcıdır, sürdükten sonra kontrollü güneş ışığı gerekebilir","img/babchi.png"
